match_id,ball_number,bowler,batsman,ball_result,full_commentary,bowler_full_name,batsman_full_name,innings,batting_team,bowling_team
25679291,19.5,Mustafizur,Kedar Jadhav,FOUR,"Mustafizur to Kedar Jadhav, FOUR, he has done it! Make way for the men in yellow, for there are plenty of them who are storming to the middle to jump over Jadhav. Careful of that hamstring though. Oh forget about it, no one cares anymore. Full ball from Mustafizur, drilled through the covers. What a finish. Unbelievable",Mustafizur Rahman,Kedar Jadhav,1,Chennai Super Kings,Mumbai Indians
25679291,19.4,Mustafizur,Kedar Jadhav,SIX,"Mustafizur to Kedar Jadhav, SIX, he's scooped this for six, he's scooped this for six. Kedar Jadhav.... Oh my. Imran Tahir drops his bat and runs across to hug Jadhav. There's another run to go, but he doesn't care. Good length cutter angled across off, Jadhav bends over - bad hamstring and all - and finds the leverage to lift it over short fine leg. Chennai players are clapping violently",Mustafizur Rahman,Kedar Jadhav,1,Chennai Super Kings,Mumbai Indians
25679291,19.3,Mustafizur,Kedar Jadhav,no run,"Mustafizur to Kedar Jadhav, no run, third dot in a row. Jadhav's probably decided that he can't leave it to Tahir, which is why he isn't taking the single. Or can he run at all with a damaged hamstring? Back of length on off, steered straight to third man",Mustafizur Rahman,Kedar Jadhav,1,Chennai Super Kings,Mumbai Indians
25679291,19.2,Mustafizur,Kedar Jadhav,no run,"Mustafizur to Kedar Jadhav, no run, back of a length delivery on leg, fine leg was up in the ring but Jadhav paddles this straight to him. What a huge opportunity goes begging",Mustafizur Rahman,Kedar Jadhav,1,Chennai Super Kings,Mumbai Indians
25679291,19.1,Mustafizur,Kedar Jadhav,no run,"Mustafizur to Kedar Jadhav, no run, slower length ball, Jadhav defends into the on-side",Mustafizur Rahman,Kedar Jadhav,1,Chennai Super Kings,Mumbai Indians
25679291,18.6,Bumrah,Dwayne Bravo,SIX,"Bumrah to Dwayne Bravo, out Caught by Rohit!! A 20-run over from Bumrah has been redeemed right at the end. Bravo's gone. But has the damage been done? Short ball, Bravo swings hard but slices it up to extra-cover. Seven needed from six. Get ready to lose your mind. Dwayne Bravo c Rohit b Bumrah 68(30) [4s-3 6s-7]",Jasprit Bumrah,Dwayne Bravo,1,Chennai Super Kings,Mumbai Indians
25679291,18.5,Bumrah,Dwayne Bravo,SIX,"Bumrah to Dwayne Bravo, SIX, Wankhede is coming unglued here. The stadium is rocking for Bravo. Low full toss, he's heaved it over deep mid-wicket, just over the fielder",Jasprit Bumrah,Dwayne Bravo,1,Chennai Super Kings,Mumbai Indians
25679291,18.4,Bumrah,Dwayne Bravo,no run,"Bumrah to Dwayne Bravo, no run, this is mental, absolutely mental. The ball has actually rolled onto the stumps, but the bails stay unmoved. Brilliant yorker from Bumrah, Bravo digs it out off the toe-end but the ball still goes back towards the stumps. Is this Bravo's night?",Jasprit Bumrah,Dwayne Bravo,1,Chennai Super Kings,Mumbai Indians
25679291,18.3,Bumrah,Dwayne Bravo,2 runs,"Bumrah to Dwayne Bravo, 2 runs, big groan from Bravo as he steers it straight to short third man. Should they have gone for the single? Doesn't matter as there has been an overthrow and Bravo will retain strike",Jasprit Bumrah,Dwayne Bravo,1,Chennai Super Kings,Mumbai Indians
25679291,18.2,Bumrah,Dwayne Bravo,SIX,"Bumrah to Dwayne Bravo, SIX, Hardik Pandya slaps the seat in frustration as he sits in the dugout. Another six. This game has come alive out of nowhere. Bumrah goes round the wicket, bowls a full toss on the pads and is whipped over mid-wicket",Jasprit Bumrah,Dwayne Bravo,1,Chennai Super Kings,Mumbai Indians
